anio,mes,centro_costo,componente,monto
2026,1,Operaciones,mano_de_obra,5295701.0
2026,2,Operaciones,mano_de_obra,5295701.0
2026,3,Operaciones,mano_de_obra,5295701.0
2026,4,Operaciones,mano_de_obra,5295701.0
2026,5,Operaciones,mano_de_obra,5295701.0
2026,6,Operaciones,mano_de_obra,5295701.0
2026,7,Operaciones,mano_de_obra,5295701.0
2026,8,Operaciones,mano_de_obra,5295701.0
2026,9,Operaciones,mano_de_obra,5295701.0
2026,10,Operaciones,mano_de_obra,5295701.0
2026,11,Operaciones,mano_de_obra,5295701.0
2026,12,Operaciones,mano_de_obra,5295701.0
2026,1,Operaciones,materiales,687581.0
2026,2,Operaciones,materiales,687581.0
2026,3,Operaciones,materiales,687581.0
2026,4,Operaciones,materiales,687581.0
2026,5,Operaciones,materiales,687581.0
2026,6,Operaciones,materiales,687581.0
2026,7,Operaciones,materiales,687581.0
2026,8,Operaciones,materiales,687581.0
2026,9,Operaciones,materiales,687581.0
2026,10,Operaciones,materiales,687581.0
2026,11,Operaciones,materiales,687581.0
2026,12,Operaciones,materiales,687581.0
2026,1,Operaciones,mantencion,2562720.0
2026,2,Operaciones,mantencion,2562720.0
2026,3,Operaciones,mantencion,2562720.0
2026,4,Operaciones,mantencion,2562720.0
2026,5,Operaciones,mantencion,2562720.0
2026,6,Operaciones,mantencion,2562720.0
2026,7,Operaciones,mantencion,2562720.0
2026,8,Operaciones,mantencion,2562720.0
2026,9,Operaciones,mantencion,2562720.0
2026,10,Operaciones,mantencion,2562720.0
2026,11,Operaciones,mantencion,2562720.0
2026,12,Operaciones,mantencion,2562720.0
2026,1,Comercial,comisiones,2174081.0
2026,2,Comercial,comisiones,2174081.0
2026,3,Comercial,comisiones,2174081.0
2026,4,Comercial,comisiones,2174081.0
2026,5,Comercial,comisiones,2174081.0
2026,6,Comercial,comisiones,2174081.0
2026,7,Comercial,comisiones,2174081.0
2026,8,Comercial,comisiones,2174081.0
2026,9,Comercial,comisiones,2174081.0
2026,10,Comercial,comisiones,2174081.0
2026,11,Comercial,comisiones,2174081.0
2026,12,Comercial,comisiones,2174081.0
2026,1,Comercial,marketing,6023534.0
2026,2,Comercial,marketing,6023534.0
2026,3,Comercial,marketing,6023534.0
2026,4,Comercial,marketing,6023534.0
2026,5,Comercial,marketing,6023534.0
2026,6,Comercial,marketing,6023534.0
2026,7,Comercial,marketing,6023534.0
2026,8,Comercial,marketing,6023534.0
2026,9,Comercial,marketing,6023534.0
2026,10,Comercial,marketing,6023534.0
2026,11,Comercial,marketing,6023534.0
2026,12,Comercial,marketing,6023534.0
2026,1,Comercial,viajes,5575246.0
2026,2,Comercial,viajes,5575246.0
2026,3,Comercial,viajes,5575246.0
2026,4,Comercial,viajes,5575246.0
2026,5,Comercial,viajes,5575246.0
2026,6,Comercial,viajes,5575246.0
2026,7,Comercial,viajes,5575246.0
2026,8,Comercial,viajes,5575246.0
2026,9,Comercial,viajes,5575246.0
2026,10,Comercial,viajes,5575246.0
2026,11,Comercial,viajes,5575246.0
2026,12,Comercial,viajes,5575246.0
2026,1,Administracion y Finanzas,arriendo,7191347.0
2026,2,Administracion y Finanzas,arriendo,7191347.0
2026,3,Administracion y Finanzas,arriendo,7191347.0
2026,4,Administracion y Finanzas,arriendo,7191347.0
2026,5,Administracion y Finanzas,arriendo,7191347.0
2026,6,Administracion y Finanzas,arriendo,7191347.0
2026,7,Administracion y Finanzas,arriendo,7191347.0
2026,8,Administracion y Finanzas,arriendo,7191347.0
2026,9,Administracion y Finanzas,arriendo,7191347.0
2026,10,Administracion y Finanzas,arriendo,7191347.0
2026,11,Administracion y Finanzas,arriendo,7191347.0
2026,12,Administracion y Finanzas,arriendo,7191347.0
2026,1,Administracion y Finanzas,servicios_basicos,1152041.0
2026,2,Administracion y Finanzas,servicios_basicos,1152041.0
2026,3,Administracion y Finanzas,servicios_basicos,1152041.0
2026,4,Administracion y Finanzas,servicios_basicos,1152041.0
2026,5,Administracion y Finanzas,servicios_basicos,1152041.0
2026,6,Administracion y Finanzas,servicios_basicos,1152041.0
2026,7,Administracion y Finanzas,servicios_basicos,1152041.0
2026,8,Administracion y Finanzas,servicios_basicos,1152041.0
2026,9,Administracion y Finanzas,servicios_basicos,1152041.0
2026,10,Administracion y Finanzas,servicios_basicos,1152041.0
2026,11,Administracion y Finanzas,servicios_basicos,1152041.0
2026,12,Administracion y Finanzas,servicios_basicos,1152041.0
2026,1,Administracion y Finanzas,software,3664414.0
2026,2,Administracion y Finanzas,software,3664414.0
2026,3,Administracion y Finanzas,software,3664414.0
2026,4,Administracion y Finanzas,software,3664414.0
2026,5,Administracion y Finanzas,software,3664414.0
2026,6,Administracion y Finanzas,software,3664414.0
2026,7,Administracion y Finanzas,software,3664414.0
2026,8,Administracion y Finanzas,software,3664414.0
2026,9,Administracion y Finanzas,software,3664414.0
2026,10,Administracion y Finanzas,software,3664414.0
2026,11,Administracion y Finanzas,software,3664414.0
2026,12,Administracion y Finanzas,software,3664414.0
2026,1,Personas,capacitacion,723479.0
2026,2,Personas,capacitacion,723479.0
2026,3,Personas,capacitacion,723479.0
2026,4,Personas,capacitacion,723479.0
2026,5,Personas,capacitacion,723479.0
2026,6,Personas,capacitacion,723479.0
2026,7,Personas,capacitacion,723479.0
2026,8,Personas,capacitacion,723479.0
2026,9,Personas,capacitacion,723479.0
2026,10,Personas,capacitacion,723479.0
2026,11,Personas,capacitacion,723479.0
2026,12,Personas,capacitacion,723479.0
2026,1,Personas,beneficios,2139785.0
2026,2,Personas,beneficios,2139785.0
2026,3,Personas,beneficios,2139785.0
2026,4,Personas,beneficios,2139785.0
2026,5,Personas,beneficios,2139785.0
2026,6,Personas,beneficios,2139785.0
2026,7,Personas,beneficios,2139785.0
2026,8,Personas,beneficios,2139785.0
2026,9,Personas,beneficios,2139785.0
2026,10,Personas,beneficios,2139785.0
2026,11,Personas,beneficios,2139785.0
2026,12,Personas,beneficios,2139785.0
2026,1,Personas,reclutamiento,4290165.0
