anio,mes,centro_costo,componente,monto
2026,1,Operaciones,mano_de_obra,3367977.0
2026,2,Operaciones,mano_de_obra,5272944.0
2026,3,Operaciones,mano_de_obra,5227931.0
2026,4,Operaciones,mano_de_obra,5088220.0
2026,5,Operaciones,mano_de_obra,5277300.0
2026,6,Operaciones,mano_de_obra,5590541.0
2026,7,Operaciones,mano_de_obra,5040689.0
2026,8,Operaciones,mano_de_obra,6232119.0
2026,9,Operaciones,mano_de_obra,5110296.0
2026,10,Operaciones,mano_de_obra,5281191.0
2026,11,Operaciones,mano_de_obra,5088007.0
2026,12,Operaciones,mano_de_obra,5286984.0
2026,1,Operaciones,materiales,801240.0
2026,2,Operaciones,materiales,706773.0
2026,3,Operaciones,materiales,671449.0
2026,4,Operaciones,materiales,646228.0
2026,5,Operaciones,materiales,663343.0
2026,6,Operaciones,materiales,661573.0
2026,7,Operaciones,materiales,662299.0
2026,8,Operaciones,materiales,656048.0
2026,9,Operaciones,materiales,681793.0
2026,10,Operaciones,materiales,688856.0
2026,11,Operaciones,materiales,681092.0
2026,12,Operaciones,materiales,698575.0
2026,1,Operaciones,mantencion,2659084.0
2026,2,Operaciones,mantencion,2630755.0
2026,3,Operaciones,mantencion,2621423.0
2026,4,Operaciones,mantencion,2557871.0
2026,5,Operaciones,mantencion,2540911.0
2026,6,Operaciones,mantencion,2597405.0
2026,7,Operaciones,mantencion,2582837.0
2026,8,Operaciones,mantencion,2641811.0
2026,9,Operaciones,mantencion,2677701.0
2026,10,Operaciones,mantencion,2542681.0
2026,11,Operaciones,mantencion,3526002.0
2026,12,Operaciones,mantencion,2570209.0
2026,1,Comercial,comisiones,1751065.0
2026,2,Comercial,comisiones,2124621.0
2026,3,Comercial,comisiones,2163889.0
2026,4,Comercial,comisiones,2088462.0
2026,5,Comercial,comisiones,2308973.0
2026,6,Comercial,comisiones,1765059.0
2026,7,Comercial,comisiones,2234960.0
2026,8,Comercial,comisiones,2147830.0
2026,9,Comercial,comisiones,2194566.0
2026,10,Comercial,comisiones,2792380.0
2026,11,Comercial,comisiones,2111656.0
2026,12,Comercial,comisiones,2094403.0
2026,1,Comercial,marketing,5624047.0
2026,2,Comercial,marketing,6060662.0
2026,3,Comercial,marketing,6197433.0
2026,4,Comercial,marketing,5961491.0
2026,5,Comercial,marketing,7748994.0
2026,6,Comercial,marketing,6040165.0
2026,7,Comercial,marketing,6233895.0
2026,8,Comercial,marketing,6247387.0
2026,9,Comercial,marketing,3801629.0
2026,10,Comercial,marketing,5995780.0
2026,11,Comercial,marketing,6037654.0
2026,12,Comercial,marketing,6016759.0
2026,1,Comercial,viajes,5664696.0
2026,2,Comercial,viajes,5590816.0
2026,3,Comercial,viajes,5622852.0
2026,4,Comercial,viajes,5540039.0
2026,5,Comercial,viajes,7391854.0
2026,6,Comercial,viajes,6700748.0
2026,7,Comercial,viajes,5814207.0
2026,8,Comercial,viajes,5517171.0
2026,9,Comercial,viajes,5757772.0
2026,10,Comercial,viajes,5578190.0
2026,11,Comercial,viajes,5364336.0
2026,12,Comercial,viajes,5542132.0
2026,1,Administracion y Finanzas,arriendo,6934210.0
2026,2,Administracion y Finanzas,arriendo,7470681.0
2026,3,Administracion y Finanzas,arriendo,7061437.0
2026,4,Administracion y Finanzas,arriendo,7293325.0
2026,5,Administracion y Finanzas,arriendo,7207380.0
2026,6,Administracion y Finanzas,arriendo,7568014.0
2026,7,Administracion y Finanzas,arriendo,6933272.0
2026,8,Administracion y Finanzas,arriendo,6923303.0
2026,9,Administracion y Finanzas,arriendo,6967634.0
2026,10,Administracion y Finanzas,arriendo,6952032.0
2026,11,Administracion y Finanzas,arriendo,7212412.0
2026,12,Administracion y Finanzas,arriendo,7032253.0
2026,1,Administracion y Finanzas,servicios_basicos,1161611.0
2026,2,Administracion y Finanzas,servicios_basicos,1131345.0
2026,3,Administracion y Finanzas,servicios_basicos,1177652.0
2026,4,Administracion y Finanzas,servicios_basicos,1123894.0
2026,5,Administracion y Finanzas,servicios_basicos,1161680.0
2026,6,Administracion y Finanzas,servicios_basicos,1119464.0
2026,7,Administracion y Finanzas,servicios_basicos,1159751.0
2026,8,Administracion y Finanzas,servicios_basicos,1116824.0
2026,9,Administracion y Finanzas,servicios_basicos,1377126.0
2026,10,Administracion y Finanzas,servicios_basicos,1128610.0
